MLModelHyperparameters,Accuracy,Precision,Recall,F1,NumOfParams
"algorithm=neural_network,hidden_layer_sizes=[5]",0.966875,1.0,0.018518518518518517,0.03636363636363636,51
"algorithm=neural_network,hidden_layer_sizes=[10]",0.975625,0.9411764705882353,0.2962962962962963,0.4507042253521127,101
"algorithm=neural_network,hidden_layer_sizes=[20]",0.971875,0.9090909090909091,0.18518518518518517,0.3076923076923077,201
"algorithm=neural_network,hidden_layer_sizes=[50]",0.97,1.0,0.1111111111111111,0.2,501
"algorithm=neural_network,hidden_layer_sizes=[10, 10]",0.968125,1.0,0.05555555555555555,0.10526315789473684,211
"algorithm=neural_network,hidden_layer_sizes=[20, 20]",0.96625,0.0,0.0,0.0,621
"algorithm=decision_tree,max_leaf_nodes=5",0.97,0.8,0.14814814814814814,0.25,20
"algorithm=decision_tree,max_leaf_nodes=10",0.9775,0.8461538461538461,0.4074074074074074,0.55,40
"algorithm=decision_tree,max_leaf_nodes=20",0.97875,0.7777777777777778,0.5185185185185185,0.6222222222222222,80
"algorithm=decision_tree,max_leaf_nodes=30",0.978125,0.6938775510204082,0.6296296296296297,0.6601941747572816,120
